"","game_id","temp","home_team","away_team","total","season","season_type","total_line","Home_Off_EPA","Away_Off_EPA","Home_Def_EPA","Away_Def_EPA"
"42","1999_04_BUF_MIA",79,"MIA","BUF",41,1999,"REG",40.5,-0.124326538966527,-0.0200859727965251,-0.119362696357513,-0.164175830394738
"43","1999_04_CAR_WAS",78,"WAS","CAR",74,1999,"REG",45.5,0.0763603862294098,0.0115559488463279,-0.0021484395923787,0.0501524852186217
"44","1999_04_JAX_PIT",62,"PIT","JAX",20,1999,"REG",42,-0.0716650613963292,0.0509792097802891,-0.0592910040589442,-0.141786930850859
"45","1999_04_KC_SD",76,"LAC","KC",35,1999,"REG",38.5,-0.151411790688339,-0.00875096830323809,-0.0476406207813872,-0.15516087519915
"46","1999_04_NE_CLE",59,"CLE","NE",26,1999,"REG",38,-0.128421866084313,-0.118039304503421,0.0958401521270922,-0.0991727880793192
"47","1999_04_NO_CHI",49,"CHI","NO",24,1999,"REG",37,-0.0816906338478077,-0.134665779881997,-0.0117423473227055,-0.00342001791679179
"48","1999_04_NYJ_DEN",54,"DEN","NYJ",34,1999,"REG",40,-0.0476760724568105,-0.0361453822069057,-0.0718048381223878,-0.0435381647914199
"49","1999_04_OAK_SEA",70,"SEA","LV",43,1999,"REG",40.5,-0.088355051425911,0.0409182483943874,-0.0750516760766315,-0.0696037966147988
"50","1999_04_PHI_NYG",70,"NYG","PHI",31,1999,"REG",35.5,-0.0944093281821133,-0.196024497010181,-0.0585346439234138,-0.118400876980923
"51","1999_04_TB_MIN",70,"MIN","TB",35,1999,"REG",40.5,0.0101292350753879,-0.153246261216447,-0.0179583103388012,-0.160538956522843
"52","1999_05_ATL_NO",70,"NO","ATL",37,1999,"REG",35.5,-0.134665779881997,-0.116601109884423,-0.00342001791679179,0.0035041812073711
"53","1999_05_BAL_TEN",75,"TEN","BAL",25,1999,"REG",38.5,0.0089118740477988,-0.138212952029977,-0.0391387146349858,-0.172476890740374
"54","1999_05_CHI_MIN",70,"MIN","CHI",46,1999,"REG",43.5,0.0101292350753879,-0.0816906338478077,-0.0179583103388012,-0.0117423473227055
"55","1999_05_CIN_CLE",65,"CLE","CIN",35,1999,"REG",36,-0.128421866084313,-0.0765610322310608,0.0958401521270922,0.0406865938569526
"56","1999_05_DAL_PHI",65,"PHI","DAL",23,1999,"REG",37,-0.196024497010181,-0.0167078154131911,-0.118400876980923,-0.103409599510719
"57","1999_05_DEN_OAK",79,"LV","DEN",29,1999,"REG",38,0.0409182483943874,-0.0476760724568105,-0.0696037966147988,-0.0718048381223878
"58","1999_05_JAX_NYJ",61,"NYJ","JAX",22,1999,"REG",40,-0.0361453822069057,0.0509792097802891,-0.0435381647914199,-0.141786930850859
"59","1999_05_MIA_IND",70,"IND","MIA",65,1999,"REG",44.5,0.0532506536760625,-0.124326538966527,-0.0346917887928632,-0.119362696357513
"60","1999_05_NE_KC",73,"KC","NE",30,1999,"REG",41,-0.00875096830323809,-0.118039304503421,-0.15516087519915,-0.0991727880793192
"61","1999_05_NYG_ARI",95,"ARI","NYG",17,1999,"REG",37.5,-0.196485699961533,-0.0944093281821133,-0.00356396013036691,-0.0585346439234138
"62","1999_05_PIT_BUF",65,"BUF","PIT",45,1999,"REG",38,-0.0200859727965251,-0.0716650613963292,-0.164175830394738,-0.0592910040589442
